Frame_number,Cell_number,Cell_colour,Position_X,Position_Y
12,16,0.0,249.5,103.5
13,1,0.0,163.5,316.5
13,2,0.0,178.5,389.5
13,3,0.0,190.5,302.5
13,4,0.0,206.5,393.5
13,5,0.0,229.5,115.5
13,6,0.0,235.5,141.5
13,7,0.0,239.5,92.5
13,8,0.0,260.5,124.5
13,9,0.0,266.5,341.5
13,10,0.0,292.5,340.5
13,11,0.0,329.5,191.5
13,12,0.0,329.5,228.5
13,13,0.0,353.5,209.5
13,14,0.0,251.5,104.5
13,15,0.0,328.5,208.5
13,16,0.0,313.5,203.5
15,1,0.0,162.5,317.5
15,2,0.0,177.5,388.5
15,3,0.0,190.5,302.5
15,4,0.0,206.5,393.5
15,5,0.0,229.5,115.5
15,6,0.0,235.5,142.5
15,7,0.0,238.5,91.5
15,8,0.0,261.5,125.5
15,9,0.0,265.5,341.5
15,10,0.0,292.5,341.5
15,11,0.0,329.5,190.5
15,12,0.0,329.5,230.5
15,13,0.0,353.5,209.5
15,14,0.0,252.5,101.5
15,15,0.0,327.5,209.5
15,16,0.0,311.5,204.5
17,1,0.0,162.5,318.5
17,2,0.0,176.5,388.5
17,3,0.0,190.5,302.5
17,4,0.0,205.5,393.5
17,5,0.0,229.5,115.5
17,6,0.0,235.5,143.5
17,7,0.0,238.5,90.5
17,8,0.0,261.5,125.5
17,9,0.0,265.5,341.5
17,10,0.0,291.5,341.5
17,11,0.0,328.5,191.5
17,12,0.0,329.5,231.5
17,13,0.0,353.5,210.5
17,14,0.0,325.5,211.5
17,15,0.0,308.5,201.5
17,16,0.0,251.5,101.5
19,1,0.0,162.5,318.5
19,2,0.0,177.5,389.5
19,3,0.0,190.5,302.5
19,4,0.0,206.5,394.5
19,5,0.0,229.5,115.5
19,6,0.0,235.5,143.5
19,7,0.0,237.5,89.5
19,8,0.0,261.5,125.5
19,9,0.0,265.5,342.5
19,10,0.0,291.5,341.5
19,11,0.0,329.5,190.5
19,12,0.0,330.5,231.5
19,13,0.0,353.5,210.5
19,14,0.0,249.5,101.5
19,15,0.0,231.5,159.5
19,16,0.0,188.5,403.5
19,17,0.0,328.5,209.5
19,18,0.0,309.5,201.5
21,1,0.0,161.5,318.5
21,2,0.0,177.5,389.5
21,3,0.0,190.5,303.5
21,4,0.0,206.5,394.5
21,5,0.0,229.5,115.5
21,6,0.0,235.5,143.5
21,7,0.0,237.5,88.5
21,8,0.0,253.5,102.5
21,9,0.0,261.5,125.5
21,10,0.0,264.5,342.5
21,11,0.0,292.5,341.5
21,12,0.0,309.5,201.5
21,13,0.0,329.5,190.5
21,14,0.0,330.5,232.5
21,15,0.0,353.5,210.5
21,16,0.0,231.5,159.5
21,17,0.0,324.5,211.5
21,18,0.0,188.5,403.5
23,1,0.0,161.5,317.5
23,2,0.0,176.5,389.5
23,3,0.0,190.5,303.5
23,4,0.0,206.5,394.5
23,5,0.0,229.5,116.5
23,6,0.0,235.5,143.5
23,7,0.0,236.5,89.5
23,8,0.0,252.5,103.5
23,9,0.0,261.5,126.5
23,10,0.0,263.5,343.5
23,11,0.0,291.5,341.5
23,12,0.0,309.5,201.5
23,13,0.0,329.5,190.5
23,14,0.0,331.5,233.5
23,15,0.0,353.5,210.5
23,16,0.0,231.5,159.5
23,17,0.0,324.5,209.5
23,18,0.0,187.5,400.5
23,19,0.0,176.5,320.5
25,1,0.0,162.5,317.5
25,2,0.0,176.5,388.5
25,3,0.0,191.5,304.5
25,4,0.0,206.5,394.5
25,5,0.0,229.5,116.5
25,6,0.0,235.5,144.5
25,7,0.0,236.5,87.5
25,8,0.0,252.5,101.5
25,9,0.0,261.5,126.5
25,10,0.0,262.5,343.5
25,11,0.0,291.5,341.5
25,12,0.0,308.5,200.5
25,13,0.0,329.5,189.5
25,14,0.0,330.5,233.5
25,15,0.0,352.5,210.5
25,16,0.0,233.5,160.5
25,17,0.0,325.5,212.5
25,18,0.0,177.5,323.5
25,19,0.0,185.5,404.5
27,1,0.0,162.5,317.5
27,2,0.0,176.5,388.5
27,3,0.0,191.5,304.5
27,4,0.0,207.5,394.5
27,5,0.0,229.5,116.5
27,6,0.0,235.5,144.5
27,7,0.0,236.5,88.5
27,8,0.0,253.5,102.5
27,9,0.0,261.5,126.5
27,10,0.0,262.5,343.5
27,11,0.0,291.5,341.5
27,12,0.0,308.5,200.5
27,13,0.0,330.5,190.5
27,14,0.0,331.5,234.5
27,15,0.0,353.5,211.5
27,16,0.0,324.5,211.5
27,17,0.0,232.5,160.5
27,18,0.0,177.5,323.5
27,19,0.0,188.5,403.5
29,1,0.0,163.5,316.5
29,2,0.0,178.5,388.5
29,3,0.0,192.5,303.5
29,4,0.0,208.5,394.5
29,5,0.0,230.5,116.5
29,6,0.0,236.5,144.5
29,7,0.0,237.5,87.5
29,8,0.0,254.5,101.5
29,9,0.0,262.5,126.5
29,10,0.0,263.5,343.5
29,11,0.0,293.5,342.5
29,12,0.0,308.5,200.5
29,13,0.0,330.5,189.5
29,14,0.0,332.5,234.5
29,15,0.0,354.5,210.5
29,16,0.0,235.5,161.5
29,17,0.0,325.5,209.5
29,18,0.0,179.5,323.5
29,19,0.0,188.5,404.5
31,1,0.0,164.5,316.5
31,2,0.0,179.5,387.5
31,3,0.0,181.5,328.5
31,4,0.0,194.5,303.5
31,5,0.0,209.5,394.5
31,6,0.0,231.5,116.5
31,7,0.0,237.5,144.5
31,8,0.0,238.5,87.5
31,9,0.0,255.5,101.5
31,10,0.0,263.5,126.5
31,11,0.0,264.5,343.5
31,12,0.0,294.5,341.5
31,13,0.0,309.5,198.5
31,14,0.0,323.5,212.5
31,15,0.0,332.5,189.5
31,16,0.0,334.5,234.5
31,17,0.0,355.5,210.5
31,18,0.0,236.5,163.5
31,19,0.0,189.5,404.5
33,1,0.0,164.5,315.5
33,2,0.0,179.5,387.5
33,3,0.0,182.5,328.5
33,4,0.0,193.5,303.5
33,5,0.0,209.5,394.5
33,6,0.0,232.5,115.5
33,7,0.0,237.5,143.5
33,8,0.0,238.5,87.5
33,9,0.0,256.5,101.5
33,10,0.0,263.5,126.5
33,11,0.0,263.5,343.5
33,12,0.0,293.5,341.5
33,13,0.0,309.5,198.5
33,14,0.0,323.5,212.5
33,15,0.0,332.5,189.5
33,16,0.0,333.5,233.5
33,17,0.0,354.5,210.5
33,18,0.0,236.5,163.5
33,19,0.0,188.5,401.5
35,1,0.0,164.5,315.5
35,2,0.0,180.5,385.5
35,3,0.0,181.5,330.5
35,4,0.0,187.5,406.5
35,5,0.0,193.5,303.5
35,6,0.0,208.5,394.5
35,7,0.0,232.5,115.5
35,8,0.0,237.5,144.5
35,9,0.0,237.5,87.5
35,10,0.0,259.5,98.5
35,11,0.0,263.5,125.5
35,12,0.0,262.5,345.5
35,13,0.0,292.5,340.5
35,14,0.0,307.5,197.5
35,15,0.0,322.5,212.5
35,16,0.0,331.5,188.5
35,17,0.0,333.5,234.5
35,18,0.0,354.5,210.5
35,19,0.0,233.5,164.5
35,20,0.0,273.5,332.5
37,1,0.0,163.5,315.5
37,2,0.0,180.5,384.5
37,3,0.0,181.5,331.5
37,4,0.0,186.5,406.5
37,5,0.0,193.5,303.5
37,6,0.0,208.5,394.5
37,7,0.0,231.5,115.5
37,8,0.0,236.5,144.5
37,9,0.0,237.5,87.5
37,10,0.0,236.5,166.5
37,11,0.0,259.5,98.5
37,12,0.0,262.5,346.5
37,13,0.0,263.5,126.5
37,14,0.0,291.5,340.5
37,15,0.0,307.5,197.5
37,16,0.0,320.5,213.5
37,17,0.0,330.5,189.5
37,18,0.0,333.5,234.5
37,19,0.0,354.5,210.5
37,20,0.0,272.5,331.5
39,1,0.0,163.5,315.5
39,2,0.0,181.5,333.5
39,3,0.0,180.5,384.5
39,4,0.0,186.5,407.5
39,5,0.0,192.5,304.5
39,6,0.0,208.5,394.5
39,7,0.0,231.5,115.5
39,8,0.0,236.5,144.5
39,9,0.0,237.5,87.5
39,10,0.0,235.5,167.5
39,11,0.0,261.5,96.5
39,12,0.0,262.5,346.5
39,13,0.0,262.5,126.5
39,14,0.0,291.5,340.5
39,15,0.0,306.5,198.5
39,16,0.0,320.5,213.5
39,17,0.0,330.5,189.5
39,18,0.0,332.5,234.5
39,19,0.0,353.5,210.5
39,20,0.0,272.5,331.5
39,21,1.0,348.5,244.5
41,1,0.0,163.5,315.5
41,2,0.0,181.5,334.5
41,3,0.0,180.5,384.5
41,4,0.0,185.5,407.5
41,5,0.0,193.5,304.5
41,6,0.0,208.5,394.5
41,7,0.0,231.5,116.5
41,8,0.0,236.5,144.5
41,9,0.0,235.5,167.5
41,10,0.0,237.5,87.5
41,11,0.0,262.5,346.5
41,12,0.0,262.5,126.5
41,13,0.0,265.5,94.5
41,14,0.0,291.5,340.5
41,15,0.0,304.5,198.5
41,16,0.0,319.5,213.5
41,17,0.0,330.5,189.5
41,18,0.0,332.5,234.5
41,19,0.0,353.5,210.5
41,20,0.0,272.5,328.5
41,21,0.0,249.5,103.5
41,22,0.0,348.5,245.5
43,1,0.0,238.0,85.0
43,2,0.0,266.0,92.0
43,3,0.0,251.0,102.0
43,4,0.0,234.0,116.0
43,5,0.0,238.0,142.0
43,6,0.0,235.0,167.0
43,7,0.0,261.0,125.0
43,8,0.0,349.0,245.0
43,9,0.0,335.0,237.0
43,10,0.0,321.0,211.0
43,11,0.0,306.0,198.0
43,12,0.0,330.0,189.0
43,13,0.0,354.0,210.0
43,14,0.0,291.0,341.0
43,15,0.0,262.0,346.0
43,16,0.0,272.0,327.0
43,17,0.0,192.0,304.0
43,18,0.0,182.0,332.0
43,19,0.0,162.0,315.0
43,20,0.0,181.0,383.0
43,21,0.0,207.0,393.0
43,22,0.0,186.0,406.0
44,1,0.0,237.0,88.0
44,2,0.0,267.0,93.0
44,3,0.0,250.0,102.0
44,4,0.0,233.0,115.0
44,5,0.0,237.0,142.0
44,6,0.0,235.0,165.0
44,7,0.0,261.0,124.0
44,8,0.0,349.0,246.0
44,9,0.0,332.0,235.0
44,10,0.0,322.0,212.0
44,11,0.0,304.0,198.0
44,12,0.0,331.0,190.0
44,13,0.0,353.0,211.0
44,14,0.0,290.0,339.0
44,15,0.0,261.0,345.0
44,16,0.0,271.0,326.0
44,17,0.0,190.0,304.0
44,18,0.0,181.0,333.0
44,19,0.0,164.0,314.0
44,20,0.0,180.0,384.0
44,21,0.0,207.0,394.0
44,22,0.0,185.0,407.0
45,1,0.0,237.0,87.0
45,2,0.0,270.0,96.0
45,3,0.0,251.0,100.0
45,4,0.0,233.0,113.0
45,5,0.0,236.0,141.0
45,6,0.0,236.0,167.0
45,7,0.0,261.0,125.0
45,8,0.0,349.0,250.0
45,9,0.0,333.0,237.0
45,10,0.0,320.0,212.0
45,11,0.0,304.0,197.0
45,12,0.0,330.0,189.0
45,13,0.0,354.0,211.0
45,14,0.0,289.0,340.0
45,15,0.0,262.0,344.0
45,16,0.0,270.0,324.0
45,17,0.0,193.0,303.0
45,18,0.0,183.0,334.0
45,19,0.0,163.0,315.0
45,20,0.0,181.0,380.0
45,21,0.0,206.0,394.0
45,22,0.0,184.0,407.0
46,1,0.0,239.0,87.0
46,2,0.0,272.0,98.0
46,3,0.0,251.0,101.0
46,4,0.0,233.0,115.0
46,5,0.0,236.0,142.0
46,6,0.0,235.0,168.0
46,7,0.0,261.0,128.0
46,8,0.0,348.0,249.0
46,9,0.0,333.0,236.0
46,10,0.0,321.0,214.0
46,11,0.0,303.0,197.0
46,12,0.0,328.0,189.0
46,13,0.0,353.0,211.0
46,14,0.0,291.0,340.0
46,15,0.0,262.0,345.0
46,16,0.0,271.0,325.0
46,17,0.0,192.0,304.0
46,18,0.0,182.0,336.0
46,19,0.0,162.0,315.0
46,20,0.0,181.0,382.0
46,21,0.0,207.0,394.0
46,22,0.0,184.0,408.0
47,1,0.0,237.0,86.0
47,2,0.0,273.0,97.0
47,3,0.0,253.0,100.0
47,4,0.0,233.0,114.0
47,5,0.0,236.0,142.0
47,6,0.0,236.0,168.0
47,7,0.0,264.0,125.0
47,8,0.0,349.0,249.0
47,9,0.0,333.0,237.0
47,10,0.0,324.0,212.0
47,11,0.0,304.0,196.0
47,12,0.0,329.0,189.0
47,13,0.0,354.0,209.0
47,14,0.0,290.0,340.0
47,15,0.0,262.0,346.0
47,16,0.0,272.0,324.0
47,17,0.0,193.0,304.0
47,18,0.0,181.0,334.0
47,19,0.0,162.0,314.0
47,20,0.0,181.0,382.0
47,21,0.0,206.0,394.0
47,22,0.0,185.0,409.0
48,1,0.0,236.0,86.0
48,2,0.0,274.0,97.0
48,3,0.0,252.0,100.0
48,4,0.0,232.0,114.0
48,5,0.0,237.0,142.0
48,6,0.0,236.0,168.0
48,7,0.0,261.0,125.0
48,8,0.0,349.0,250.0
48,9,0.0,332.0,238.0
48,10,0.0,320.0,213.0
48,11,0.0,302.0,197.0
48,12,0.0,329.0,189.0
48,13,0.0,352.0,209.0
48,14,0.0,290.0,341.0
48,15,0.0,262.0,346.0
48,16,0.0,270.0,324.0
48,17,0.0,193.0,305.0
48,18,0.0,181.0,333.0
48,19,0.0,161.0,314.0
48,20,0.0,181.0,381.0
48,21,0.0,206.0,396.0
48,22,0.0,184.0,406.0
49,1,0.0,237.0,88.0
49,2,0.0,278.0,100.0
49,3,0.0,251.681415929,96.7522123894
49,4,0.0,234.0,114.0
49,5,0.0,237.0,142.0
49,6,0.0,237.0,168.0
49,7,0.0,262.0,124.0
49,8,0.0,349.0,250.0
49,9,0.0,333.0,237.0
49,10,0.0,320.0,212.0
49,11,0.0,305.0,197.0
49,12,0.0,330.0,188.0
49,13,0.0,353.0,209.0
49,14,0.0,292.0,340.0
49,15,0.0,264.0,346.0
49,16,0.0,270.0,322.0
49,17,0.0,192.0,304.0
49,18,0.0,182.0,334.0
49,19,0.0,164.0,314.0
49,20,0.0,181.0,382.0
49,21,0.0,206.0,393.0
49,22,0.0,182.0,408.0
49,23,0.0,261.0,104.0
51,1,0.0,163.5,317.5
51,2,0.0,180.5,407.5
51,3,0.0,182.5,338.5
51,4,0.0,183.5,381.5
51,5,0.0,193.5,305.5
51,6,0.0,208.5,394.5
51,7,0.0,232.5,116.5
51,8,0.0,232.5,89.5
51,9,0.0,236.5,145.5
51,10,0.0,237.5,172.5
51,11,0.0,251.5,97.5
51,12,0.0,263.5,126.5
51,13,0.0,263.5,347.5
51,14,0.0,269.5,323.5
51,15,0.0,281.5,106.5
51,16,0.0,290.5,341.5
51,17,0.0,303.5,198.5
51,18,0.0,319.5,214.5
51,19,0.0,331.5,189.5
51,20,0.0,332.5,236.5
51,21,0.0,354.5,211.5
51,22,0.0,348.5,252.5
51,23,0.0,264.5,101.5
51,24,1.0,160.5,297.5
53,1,0.0,165.5,317.5
53,2,0.0,182.5,406.5
53,3,0.0,184.5,337.5
53,4,0.0,184.5,381.5
53,5,0.0,194.5,304.5
53,6,0.0,209.5,394.5
53,7,0.0,233.5,89.5
53,8,0.0,234.5,116.5
53,9,0.0,238.5,145.5
53,10,0.0,244.5,171.5
53,11,0.0,253.5,96.5
53,12,0.0,264.5,127.5
53,13,0.0,264.5,347.5
53,14,0.0,270.5,323.5
53,15,0.0,283.5,107.5
53,16,0.0,291.5,340.5
53,17,0.0,305.5,197.5
53,18,0.0,320.5,214.5
53,19,0.0,331.5,190.5
53,20,0.0,334.5,235.5
53,21,0.0,354.5,211.5
53,22,0.0,163.5,296.5
53,23,0.0,351.5,249.5
53,24,1.0,197.5,372.5
53,25,0.0,265.5,103.5
55,1,0.0,164.5,317.5
55,2,0.0,182.5,405.5
55,3,0.0,185.5,339.5
55,4,0.0,185.5,378.5
55,5,0.0,194.5,304.5
55,6,0.0,209.5,394.5
55,7,0.0,230.5,89.5
55,8,0.0,233.5,116.5
55,9,0.0,237.5,145.5
55,10,0.0,246.5,169.5
55,11,0.0,252.5,93.5
55,12,0.0,264.5,126.5
55,13,0.0,263.5,347.5
55,14,0.0,269.5,321.5
55,15,0.0,286.5,109.5
55,16,0.0,291.5,340.5
55,17,0.0,303.5,195.5
55,18,0.0,316.5,215.5
55,19,0.0,331.5,189.5
55,20,0.0,333.5,235.5
55,21,0.0,350.5,254.5
55,22,0.0,354.5,211.5
55,23,0.0,157.5,297.5
55,24,0.0,265.5,101.5
55,25,0.0,199.5,368.5
57,1,0.0,164.5,317.5
57,2,0.0,182.5,405.5
57,3,0.0,185.5,339.5
57,4,0.0,185.5,378.5
57,5,0.0,194.5,304.5
57,6,0.0,208.5,394.5
57,7,0.0,229.5,89.5
57,8,0.0,232.5,116.5
57,9,0.0,237.5,145.5
57,10,0.0,247.5,169.5
57,11,0.0,252.5,92.5
57,12,0.0,263.5,126.5
57,13,0.0,263.5,347.5
57,14,0.0,268.5,321.5
57,15,0.0,286.5,110.5
57,16,0.0,290.5,340.5
57,17,0.0,303.5,195.5
57,18,0.0,316.5,215.5
57,19,0.0,331.5,189.5
57,20,0.0,332.5,235.5
57,21,0.0,350.5,254.5
57,22,0.0,354.5,211.5
57,23,0.0,157.5,297.5
57,24,0.0,267.5,101.5
57,25,0.0,199.5,365.5
59,1,0.0,163.5,317.5
59,2,0.0,182.5,404.5
59,3,0.0,184.5,378.5
59,4,0.0,193.5,341.5
59,5,0.0,194.5,306.5
59,6,0.0,208.5,393.5
59,7,0.0,227.5,89.5
59,8,0.0,232.5,116.5
59,9,0.0,237.5,145.5
59,10,0.0,246.5,169.5
59,11,0.0,251.5,91.5
59,12,0.0,262.5,347.5
59,13,0.0,263.5,126.5
59,14,0.0,268.5,321.5
59,15,0.0,286.5,111.5
59,16,0.0,290.5,340.5
59,17,0.0,302.5,194.5
59,18,0.0,313.5,216.5
59,19,0.0,330.5,189.5
59,20,0.0,331.5,234.5
59,21,0.0,349.5,255.5
59,22,0.0,354.5,211.5
59,23,0.0,268.5,103.5
59,24,0.0,157.5,295.5
59,25,0.0,199.5,367.5
59,26,2.0,329.5,209.5
