Frame_number,Cell_number,Position_x,Position_y,Unique_cell_number
14,4,207.01,394.57,4
14,5,230.75,116.56,5
14,6,236.38,143.03,6
14,12,239.74,93.74,12
14,7,261.56,125.75,7
14,13,267.38,342.37,13
14,8,292.83,341.67,8
14,10,329.99,192.76,10
14,9,330.68,229.33,9
14,11,354.51,210.4,11
15,1,163.47,318.51,1
15,2,178.46,389.87,2
15,3,191.58,303.3,3
15,4,207.04,394.57,4
15,5,230.54,116.07,5
15,6,236.39,143.47,6
15,12,239.15,92.15,12
15,7,262.13,126.11,7
15,13,266.89,342.56,13
15,8,293.03,342,8
15,10,330.15,191.79,10
15,9,330.82,231.42,9
15,11,354.12,210.59,11
16,1,163.3,318.76,1
16,2,178.16,389.75,2
16,3,191.45,303.33,3
16,4,206.98,394.68,4
16,5,230.39,116.1,5
16,6,236.27,143.96,6
16,12,239.03,91.968,12
16,7,262.16,126.31,7
16,13,266.74,342.58,13
16,8,292.99,342.02,8
16,14,312.61,204.84,14
16,10,330.22,191.95,10
16,9,331,231.82,9
16,11,354.03,210.98,11
17,1,163.07,319.04,1
17,2,177.96,389.86,2
17,3,191.19,303.74,3
17,4,206.82,394.98,4
17,5,230.42,116.5,5
17,6,236.11,144.31,6
17,12,239.01,91.714,12
17,7,262.22,126.46,7
17,13,266.5,342.9,13
17,8,292.88,342.24,8
17,10,329.77,192.03,10
17,9,330.89,232.41,9
17,11,354.09,211.07,11
18,1,163.38,319.22,1
18,2,178.13,389.96,2
18,3,191.5,303.77,3
18,4,207.09,395.09,4
18,5,230.53,116.52,5
18,6,236.3,144.44,6
18,12,238.77,91.089,12
18,7,262.3,126.67,7
18,13,266.66,343,13
18,8,293.05,342.21,8
18,14,312.27,204.53,14
18,10,330.28,192,10
18,9,331.21,232.74,9
18,11,354.13,211.15,11
19,1,163.26,319.3,1
19,2,178.13,390.09,2
19,3,191.51,303.9,3
19,4,207.16,395.28,4
19,5,230.59,116.82,5
19,6,236.25,144.51,6
19,12,238.44,90.169,12
19,7,262.4,126.84,7
19,13,266.56,343.31,13
19,8,292.95,342.24,8
19,10,330.22,191.93,10
19,9,331.29,232.83,9
19,11,354.14,211.45,11
20,1,163,319.49,1
20,2,177.9,390.34,2
20,3,191.49,303.99,3
20,4,206.99,395.52,4
20,5,230.4,116.94,5
20,6,236,144.72,6
20,12,238.12,90.012,12
20,7,262.05,126.88,7
20,13,265.61,343.48,13
20,8,292.78,342.38,8
20,10,329.97,192.03,10
20,9,331.16,233.4,9
20,11,353.91,211.6,11
21,1,162.84,319.53,1
21,2,178.05,390.28,2
21,3,191.95,304,3
21,4,207.31,395.52,4
21,5,230.86,116.78,5
21,6,236.65,144.68,6
21,12,238.34,89.672,12
21,15,254.08,103.44,15
21,7,262.38,126.96,7
21,13,265.06,343.59,13
21,8,293.06,342.34,8
21,16,310.64,202.94,16
21,10,330.56,191.54,10
21,9,331.65,233.47,9
21,11,354.37,211.59,11
22,1,162.77,318.67,1
22,2,177.85,390.62,2
22,3,191.72,304.41,3
22,4,206.98,395.76,4
22,5,230.39,117.13,5
22,6,236.5,144.96,6
22,12,237.67,89.872,12
22,15,252.83,104.48,15
22,7,262.22,127.26,7
22,13,264.7,343.64,13
22,8,292.71,342.65,8
22,16,310.63,202.25,16
22,10,330.48,191.57,10
22,9,332.06,233.85,9
22,11,354.07,211.62,11
23,1,162.81,318.57,1
23,2,177.95,390.67,2
23,3,191.68,304.52,3
23,4,207.05,395.95,4
23,5,230.65,117.31,5
23,6,236.79,144.91,6
23,12,237.74,90.047,12
23,15,253.23,104.37,15
23,7,262.32,127.49,7
23,13,264.9,344,13
23,8,292.8,342.84,8
23,16,310.57,202.27,16
23,10,330.38,191.68,10
23,9,332,234.11,9
23,11,354.05,211.64,11
24,1,162.91,318.26,1
24,2,178.17,390.7,2
24,3,191.84,304.4,3
24,4,207.27,395.95,4
24,5,231.03,117.29,5
24,6,236.87,144.94,6
24,12,237.96,90.251,12
24,15,253.39,104.57,15
24,7,262.35,127.5,7
24,13,264.99,343.85,13
24,8,292.91,342.81,8
24,16,310.92,201.89,16
24,10,330.61,191.8,10
24,9,331.9,233.89,9
24,11,353.98,211.74,11
25,1,163.27,318.32,1
25,2,177.57,389.9,2
25,3,192.22,305,3
25,4,207.48,395.69,4
25,5,230.44,117.06,5
25,6,236.09,145.39,6
25,12,237.38,88.913,12
25,15,253.97,102.99,15
25,7,262.47,127.62,7
25,13,263.61,344.38,13
25,8,292.71,342.9,8
25,16,309.53,201.16,16
25,10,330.61,190.97,10
25,9,331.72,234.93,9
25,11,353.63,211.93,11
26,1,163.52,318.21,1
26,2,177.97,389.66,2
26,3,192.49,305.03,3
26,4,207.9,395.71,4
26,5,230.45,117.14,5
26,6,236.35,145.4,6
26,12,237.46,88.885,12
26,15,254.78,102.86,15
26,7,262.81,127.65,7
26,13,263.67,344.19,13
26,8,292.93,342.92,8
26,16,309.41,201.01,16
26,10,330.68,190.88,10
26,9,332.23,235.08,9
26,11,353.88,211.78,11
27,1,163.67,318.1,1
27,2,177.93,389.7,2
27,3,192.48,305.03,3
27,4,208.07,395.69,4
27,5,230.69,117.35,5
27,6,236.74,145.55,6
27,12,237.61,89.126,12
27,15,254.36,103.2,15
27,7,262.87,127.65,7
27,13,263.83,344.45,13
27,8,292.91,342.82,8
27,16,309.21,201.06,16
27,10,331.01,191.13,10
27,9,332.47,235.11,9
27,11,354.08,212.12,11
28,1,163.85,317.89,1
28,2,178.16,389.54,2
28,3,192.84,304.96,3
28,4,208.26,395.6,4
28,5,230.85,117.28,5
28,6,236.64,145.48,6
28,12,237.56,88.707,12
28,15,254.89,102.47,15
28,7,263.04,127.58,7
28,13,263.9,344.22,13
28,8,293.18,342.84,8
28,16,309.11,200.76,16
28,17,322.83,213.86,17
28,10,331,190.73,10
28,9,332.38,235.28,9
28,11,354.09,211.87,11
29,1,164.71,317.97,1
29,2,179.21,389.45,2
29,3,193.85,304.99,3
29,4,209.31,395.56,4
29,5,231.59,117.26,5
29,6,237.4,145.41,6
29,12,238.41,88.686,12
29,15,255.8,102.47,15
29,7,263.89,127.7,7
29,13,264.76,344.48,13
29,8,294.09,343.04,8
29,16,309.9,201.04,16
29,10,331.91,190.88,10
29,9,333.53,235.28,9
29,11,355.15,211.93,11
30,1,165.29,317.34,1
30,2,179.9,388.76,2
30,3,194.48,304.85,3
30,4,209.91,395.33,4
30,5,232.53,117.26,5
30,6,238.31,145.06,6
30,12,239.02,88.677,12
30,15,256.04,102.56,15
30,7,264.44,127.43,7
30,13,265.32,344.2,13
30,8,294.64,342.58,8
30,16,310.36,200.16,16
30,17,324.56,213.52,17
30,10,332.68,190.28,10
30,9,334.16,235.05,9
30,11,355.54,211.71,11
31,1,165.82,317.46,1
31,2,180.29,388.93,2
31,18,182.94,329.28,18
31,3,195.03,304.78,3
31,4,210.48,395.37,4
31,5,232.88,117.36,5
31,6,238.54,145.17,6
31,12,239.27,88.695,12
31,15,256.72,102.64,15
31,7,264.97,127.62,7
31,13,265.32,344.5,13
31,8,295.12,342.87,8
31,16,310.35,199.89,16
31,17,324.53,213.94,17
31,10,333.18,190.39,10
31,9,335.05,235.29,9
31,11,356.26,211.83,11
32,1,166.37,316.53,1
32,2,181.13,388.52,2
32,18,183.76,329.04,18
32,3,195.37,304.8,3
32,4,210.78,395.3,4
32,5,234.42,116.78,5
32,6,239.68,144.54,6
32,12,239.84,88.735,12
32,15,257.58,102.55,15
32,7,265.44,127.38,7
32,13,265.57,344.83,13
32,8,295.27,342.34,8
32,16,311.58,199.43,16
32,17,326.36,213.39,17
32,10,333.67,190.56,10
32,9,335.5,234.75,9
32,11,356.25,211.38,11
33,1,165.6,316.84,1
33,2,180.43,388.47,2
33,18,183.06,329.15,18
33,3,194.62,304.68,3
33,4,210.08,395.19,4
33,5,233.71,116.77,5
33,6,238.9,144.52,6
33,12,239.38,88.691,12
33,15,257.39,102.08,15
33,7,264.52,127.09,7
33,13,264.91,344.61,13
33,8,294.6,342.22,8
33,16,310.82,199.41,16
33,17,324.9,213.48,17
33,10,333.01,190.38,10
33,9,334.81,234.87,9
33,11,355.91,211.44,11
34,1,165.21,316.75,1
34,2,180.08,388.47,2
34,18,182.34,329.45,18
34,3,194.3,304.77,3
34,4,209.84,395.32,4
34,5,233.28,116.81,5
34,6,238.26,144.79,6
34,12,238.66,88.58,12
34,15,257.57,101.44,15
34,7,264.32,127.28,7
34,13,264.44,345.01,13
34,8,294.1,342.29,8
34,16,310.26,199.7,16
34,17,323.88,213.42,17
34,10,332.54,190.68,10
34,9,334.55,235.1,9
34,11,355.53,211.62,11
35,1,165.1,316.85,1
35,2,181.96,386.13,2
35,18,182.98,331.44,18
35,19,188.48,407.17,19
35,3,194.45,304.72,3
35,4,209.94,395.01,4
35,5,233.3,116.76,5
35,6,238.05,145.06,6
35,12,238.98,88.046,12
35,15,260.06,99.192,15
35,7,264.19,126.94,7
35,13,263.53,346.87,13
35,8,293.29,341.65,8
35,16,308.86,198.26,16
35,17,323.29,213.31,17
35,10,332.45,189.99,10
35,9,334.31,235.25,9
35,11,355.15,211.38,11
36,1,164.89,317.01,1
36,2,182.12,385.8,2
36,18,182.87,331.88,18
36,19,188.19,407.26,19
36,3,194.3,304.69,3
36,4,209.69,395,4
36,5,233,116.57,5
36,6,237.64,145.07,6
36,12,238.86,88.069,12
36,20,237.06,167.08,20
36,15,259.95,99.334,15
36,13,263.44,346.92,13
36,7,263.97,127.15,7
36,8,292.93,341.61,8
36,16,308.37,198.41,16
36,17,322.26,214.35,17
36,10,332.06,190.21,10
36,9,334.09,235.36,9
36,11,355.11,211.32,11
37,1,164.77,316.81,1
37,2,181.97,385.73,2
37,18,182.53,332.54,18
37,19,187.81,407.63,19
37,3,194.19,304.83,3
37,4,209.55,395.14,4
37,5,232.71,116.58,5
37,6,237.42,145.11,6
37,12,238.67,88.166,12
37,20,237.07,167.29,20
37,15,260.23,99.228,15
37,13,263.32,347.33,13
37,7,264.06,127.24,7
37,8,292.71,341.64,8
37,16,308.14,198.57,16
37,17,321.94,214.77,17
37,10,331.88,190.44,10
37,9,334.18,235.46,9
37,11,355.05,211.66,11
38,1,164.57,316.86,1
38,2,181.98,385.7,2
38,18,182.4,333.11,18
38,19,187.74,407.51,19
38,3,194.13,304.94,3
38,4,209.54,395.06,4
38,5,233.06,116.43,5
38,6,237.69,144.95,6
38,12,238.57,88.362,12
38,20,237.15,167.49,20
38,15,260.89,99.121,15
38,13,263.32,347.35,13
38,7,263.66,127.24,7
38,8,292.63,341.64,8
38,16,307.91,198.67,16
38,17,321.85,214.66,17
38,10,331.92,190.14,10
38,9,333.93,235.45,9
38,11,354.93,211.56,11
39,1,164.32,316.99,1
39,18,182.23,334.12,18
39,2,181.92,385.64,2
39,19,187.26,408.22,19
39,3,193.92,305.14,3
39,4,209.34,395.21,4
39,5,232.81,116.99,5
39,6,237.32,145.34,6
39,12,238.47,88.495,12
39,20,236.89,168.06,20
39,15,262.84,97.961,15
39,13,263.02,347.51,13
39,7,263.65,127.32,7
39,8,292.37,341.89,8
39,16,307.13,199.18,16
39,17,321.53,214.82,17
39,10,331.63,190.51,10
39,9,333.62,235.55,9
39,11,354.85,211.81,11
40,1,164.36,317.07,1
40,18,182.09,334.77,18
40,2,181.96,385.52,2
40,19,186.96,408.55,19
40,3,193.97,305.24,3
40,4,209.41,395.39,4
40,5,232.58,117.35,5
40,6,237.57,145.26,6
40,12,238.5,88.712,12
40,20,236.95,168.52,20
40,7,263.54,127.19,7
40,13,262.94,347.71,13
40,15,264.68,96.497,15
40,8,292.26,341.81,8
40,16,306.75,199.23,16
40,17,321.62,214.45,17
40,10,331.68,190.45,10
40,9,333.63,235.59,9
40,11,354.72,211.9,11
41,1,164.28,316.99,1
41,18,182.3,335.16,18
41,2,181.96,385.31,2
41,19,186.63,408.84,19
41,3,194.04,305.15,3
41,4,209.41,395.31,4
41,5,232.37,117.38,5
41,6,237.1,145.51,6
41,20,236.93,168.92,20
41,12,238.57,88.876,12
41,13,263.03,347.82,13
41,7,263.8,127.2,7
41,15,266.45,95.575,15
41,8,292.07,341.64,8
41,16,305.63,199.15,16
41,17,320.92,214.63,17
41,10,331.42,190.55,10
41,9,333.19,235.99,9
41,11,354.81,211.86,11
42,1,164.5,316.56,1
42,2,182.6,385,2
42,18,182.88,334.4,18
42,19,187.17,408.57,19
42,3,193.82,305.43,3
42,4,209.58,395.49,4
42,5,233.49,117.03,5
42,6,238.08,145.29,6
42,20,237.22,168.32,20
42,12,239.2,89.436,12
42,13,263.34,347.58,13
42,7,263.74,127.36,7
42,15,267.1,95.578,15
42,8,292.15,341.28,8
42,16,306.24,199.18,16
42,17,322.09,214.71,17
42,10,331.63,190.78,10
42,9,333.58,235.99,9
42,11,354.57,211.77,11
43,1,164.44,316.66,1
43,18,182.54,334.44,18
43,2,182.42,384.9,2
43,19,186.88,408.68,19
43,3,193.71,305.55,3
43,4,209.29,395.53,4
43,5,233.1,117.2,5
43,6,237.89,145.07,6
43,20,236.99,168.07,20
43,12,239.03,89.534,12
43,7,263.4,127.26,7
43,13,263.01,347.4,13
43,15,266.87,95.54,15
43,8,291.81,341.36,8
43,16,306.21,199.43,16
43,17,322.15,214.66,17
43,10,331.51,190.99,10
43,9,333.26,235.85,9
43,11,354.49,211.92,11
44,1,164.44,316.83,1
44,18,182.21,334.73,18
44,2,182.18,385.31,2
44,19,186.59,408.82,19
44,3,193.53,305.48,3
44,4,209.23,395.48,4
44,5,232.88,117.52,5
44,6,237.57,145.27,6
44,12,238.69,89.695,12
44,20,236.86,168.58,20
44,13,262.73,347.41,13
44,7,263.26,127.32,7
44,15,266.84,95.63,15
44,8,291.59,341.39,8
44,16,306.15,199.64,16
44,17,321.64,214.62,17
44,10,331.33,190.88,10
44,9,333.28,235.99,9
44,11,354.25,211.92,11
45,1,164.09,317.04,1
45,18,182.26,336.26,18
45,2,182.46,383.57,2
45,19,185.48,409.13,19
45,3,193.88,305.6,3
45,4,209.32,395.39,4
45,5,231.75,117.24,5
45,6,237.09,145.91,6
45,20,236.85,170.23,20
45,12,238.58,89.107,12
45,13,263.13,348.1,13
45,7,263.7,127.44,7
45,15,271.08,99.991,15
45,8,291.26,341.73,8
45,16,304.16,198.98,16
45,17,319.96,215.42,17
45,10,331.17,190.34,10
45,9,332.92,237.26,9
45,11,354.5,212.07,11
46,1,164.27,317.14,1
46,18,182.36,336.48,18
46,2,182.99,383.31,2
46,19,185.62,409.07,19
46,3,194.08,305.52,3
46,4,209.54,395.64,4
46,5,232.58,117.25,5
46,6,237.09,145.79,6
46,12,238.62,88.922,12
46,20,237.34,170.25,20
46,7,263.91,127.58,7
46,13,263.55,348.28,13
46,15,272.3,100.41,15
46,8,291.24,341.78,8
46,16,304.33,198.96,16
46,17,320.64,215.39,17
46,10,331.35,190.44,10
46,9,333.11,236.95,9
46,11,354.64,212.18,11
47,1,164.43,317.13,1
47,18,182.54,336.83,18
47,2,183.15,383.24,2
47,19,185.71,409.24,19
47,3,194.42,305.47,3
47,4,209.77,395.52,4
47,5,232.05,117.55,5
47,6,237.67,145.9,6
47,12,238.51,88.899,12
47,20,237.52,170.34,20
47,13,263.62,348.36,13
47,7,264.33,127.64,7
47,15,273.33,100.95,15
47,21,271.26,325.28,21
47,8,291.46,341.79,8
47,16,304.45,198.86,16
47,17,320.43,215.39,17
47,10,331.37,190.46,10
47,9,333.13,237.15,9
47,11,354.95,212.03,11
48,1,164.23,317.29,1
48,18,182.26,337.66,18
48,2,183.1,383.2,2
48,19,185.34,409.14,19
48,3,194,305.78,3
48,4,209.42,395.57,4
48,5,232.14,117.63,5
48,6,237.47,145.75,6
48,12,237.55,88.686,12
48,20,237.25,170.58,20
48,13,263.42,348.2,13
48,7,263.81,127.58,7
48,21,270.52,325.57,21
48,15,274.97,101.94,15
48,8,291.05,341.98,8
48,16,304.45,198.93,16
48,17,320.62,215.39,17
48,10,331.42,190.42,10
48,9,333.14,237.22,9
48,11,354.46,212.36,11
49,1,164.16,317.32,1
49,18,182.34,338.13,18
49,2,183.25,382.95,2
49,19,184.75,409.09,19
49,3,194.22,305.74,3
49,4,209.42,395.46,4
49,5,231.92,117.63,5
49,12,236.1,88.928,12
49,6,237.48,145.9,6
49,20,237.39,171.11,20
49,22,251.64,100.29,22
49,7,263.72,127.37,7
49,13,263.55,348.42,13
49,21,270.6,324.8,21
49,15,277.81,103.57,15
49,8,291.18,341.95,8
49,16,304.49,198.87,16
49,17,320.07,215.87,17
49,10,331.55,190.27,10
49,9,332.83,237.13,9
49,11,354.63,212.32,11
50,1,163.82,317.6,1
50,18,182.26,338.58,18
50,19,183.09,408.74,19
50,2,183.61,382.82,2
50,3,193.87,305.71,3
50,4,209.15,395.47,4
50,5,232.27,117.62,5
50,12,234.05,89.55,12
50,6,237.43,145.91,6
50,20,237.36,171.83,20
50,22,252.1,98.623,22
50,7,263.44,127.56,7
50,13,263.36,348.32,13
50,21,269.98,324.59,21
50,15,279.72,105.25,15
50,8,290.94,341.81,8
50,16,304.19,198.9,16
50,17,319.98,215.91,17
50,10,331.41,190.48,10
50,9,333.26,237.11,9
50,11,354.16,212.2,11
51,1,164.18,318.35,1
51,19,181.62,408.72,19
51,18,183.3,339.32,18
51,2,184.41,382.73,2
51,3,194.93,306.14,3
51,4,209.83,395.67,4
51,5,233.12,117.77,5
51,12,233.01,90.445,12
51,6,237.89,146.42,6
51,20,238.54,173.28,20
51,22,252.25,98.515,22
51,7,264.49,127.92,7
51,13,264.18,348.95,13
51,21,270.4,324.12,21
51,15,282.59,107.26,15
51,8,291.83,342.22,8
51,16,304.96,199.22,16
51,17,320.43,215.97,17
51,10,332.19,190.59,10
51,9,333.56,237.2,9
51,11,355.06,212.72,11
52,1,165.61,318.19,1
52,19,182.55,407.5,19
52,18,184.57,338.35,18
52,2,185.74,381.96,2
52,3,195.32,306.07,3
52,4,210.3,395.32,4
52,12,233.6,90.547,12
52,5,235.12,117.31,5
52,6,239.7,145.96,6
52,20,244.9,172.34,20
52,22,253.67,97.777,22
52,7,264.57,127.82,7
52,13,264.89,347.99,13
52,21,271.62,324.31,21
52,15,283.86,108.13,15
52,8,292.59,341.51,8
52,16,306.19,198.68,16
52,17,321.97,215.13,17
52,10,332.58,190.64,10
52,9,334.82,236.64,9
52,11,354.93,212.31,11
52,23,352.45,252.58,23
53,1,166.2,318.37,1
53,19,183.03,407.7,19
53,18,185.1,338.49,18
53,2,185.97,382.08,2
53,3,195.84,305.96,3
53,4,210.68,395.49,4
53,12,234.06,90.853,12
53,5,235.35,117.36,5
53,6,239.93,146.3,6
53,20,245.52,172.45,20
53,22,254.76,97.863,22
53,7,265.14,128.21,7
53,13,265.18,348.11,13
53,21,271.62,324.48,21
53,15,284.14,108.7,15
53,8,292.7,341.79,8
53,16,306.54,198.7,16
53,17,321.82,215.35,17
53,10,332.83,191.01,10
53,9,335.15,236.81,9
53,11,355.36,212.69,11
54,1,166.17,317.86,1
54,19,183,407.33,19
54,18,185.23,338.06,18
54,2,186.33,381.49,2
54,3,196.06,305.53,3
54,4,210.79,394.94,4
54,12,234.17,90.331,12
54,5,235.32,117.01,5
54,6,239.93,145.64,6
54,20,245.68,172.08,20
54,22,254.6,97.195,22
54,7,265.35,127.38,7
54,13,265.28,347.72,13
54,21,271.65,323.97,21
54,15,284.7,108.14,15
54,8,292.87,341.14,8
54,16,306.45,198.21,16
54,17,321.47,215.08,17
54,10,333.09,190.46,10
54,9,334.96,235.94,9
54,11,355.3,212.01,11
54,23,352.58,252.73,23
55,1,165.32,318.41,1
55,19,183.83,406.64,19
55,18,186.35,340.15,18
55,2,186.03,379.96,2
55,3,195.92,305.79,3
55,4,210.43,395.59,4
55,12,231.1,90.199,12
55,5,234.27,117.04,5
55,6,238.84,146.25,6
55,20,247.99,170.61,20
55,22,253.93,94.006,22
55,7,265.19,127.55,7
55,13,264.91,348.18,13
55,21,270.65,322.66,21
55,15,287.25,110.36,15
55,8,292.28,341.64,8
55,16,304.54,196.52,16
55,17,317.72,216.49,17
55,10,332.6,190.39,10
55,9,334.08,236.25,9
55,23,351.52,255.54,23
55,11,355.75,212.09,11
56,1,165.26,318.41,1
56,19,183.17,406.42,19
56,18,186.12,340.28,18
56,2,185.95,379.43,2
56,3,195.57,305.79,3
56,4,209.86,395.41,4
56,12,229.95,90.339,12
56,5,233.73,117.34,5
56,6,238.59,146.27,6
56,20,248,170.17,20
56,22,253.1,93.474,22
56,13,264.48,348.41,13
56,7,264.91,127.62,7
56,21,269.89,322.5,21
56,15,287.2,110.94,15
56,8,291.71,341.67,8
56,16,303.72,196.34,16
56,17,317.11,216.71,17
56,10,332.07,190.5,10
56,9,333.58,235.87,9
56,23,351.19,255.38,23
56,11,355.36,212.02,11
57,1,165.33,318.46,1
57,19,183.42,406.35,19
57,18,186.89,340.45,18
57,2,186.32,379.3,2
57,3,195.78,305.82,3
57,4,209.96,395.31,4
57,12,230.29,90.193,12
57,5,233.93,117.02,5
57,6,238.67,146.24,6
57,20,248.18,170.16,20
57,22,253.3,93.168,22
57,7,264.91,127.2,7
57,13,264.81,348.35,13
57,21,269.94,322.21,21
57,15,287.51,111.01,15
57,8,291.8,341.61,8
57,16,304.01,196.13,16
57,17,317.03,216.94,17
57,10,332.18,190.42,10
57,9,333.82,236.12,9
57,23,351.3,255.56,23
57,11,355.43,212.08,11
58,1,164.48,318.55,1
58,19,183.11,406.08,19
58,2,185.96,379.3,2
58,18,187.96,341.02,18
58,3,195.46,306.09,3
58,4,209.69,395.31,4
58,12,229.33,90.288,12
58,5,234.26,117.19,5
58,6,238.29,146.32,6
58,20,247.93,170.33,20
58,22,253.38,92.594,22
58,13,264.16,348.59,13
58,7,264.82,127.72,7
58,21,269.58,321.96,21
58,15,287.62,111.73,15
58,8,291.55,341.69,8
58,16,303.4,195.63,16
58,17,316.06,217.18,17
58,10,331.64,190.7,10
58,9,333.49,235.53,9
58,23,351.03,255.64,23
58,11,355.32,211.96,11
59,1,164.2,318.76,1
59,19,183.11,405.99,19
59,2,185.63,379.19,2
59,18,194.07,342.11,18
59,3,195.13,307,3
59,4,209.93,394.61,4
59,12,228.87,90.27,12
59,5,233.11,117.21,5
59,6,238.15,146.26,6
59,20,247.8,170.63,20
59,22,252.8,92.157,22
59,13,263.96,348.63,13
59,7,264.38,127.97,7
59,21,269.03,322.1,21
59,15,287.86,112.56,15
59,8,291.28,341.8,8
59,16,303.06,195.35,16
59,17,314.11,217.96,17
59,10,331.23,190.9,10
59,9,332.83,235.66,9
59,23,350.77,256.13,23
59,11,355.05,212.09,11
60,1,164.4,318.55,1
60,19,183.06,406.09,19
60,2,185.95,378.72,2
60,3,194.8,307.93,3
60,18,198.58,342.36,18
60,4,210.06,394.33,4
60,12,228.59,90.095,12
60,5,233.52,116.99,5
60,6,238.44,146.05,6
60,20,247.86,171.04,20
60,22,252.91,91.81,22
60,13,264.12,348.35,13
60,7,264.36,127.85,7
60,21,268.9,321.81,21
60,15,288.15,113.17,15
60,8,291.1,341.54,8
60,16,303.3,195.47,16
60,17,312.29,219.3,17
60,10,331.11,190.89,10
60,9,332.81,235.63,9
